,test_size,unanswed,high_conf,badness,p1,p2,false_positives,accuracy,auc,c@1,final_score,corpus,classif,vec,shifter
31,200,70,79,88.85558855552705,0.06194,0.20498,13,0.585,0.6688000000000001,0.58725,0.39275280000000007,en_novels,"Kestemont GI, Cosine "," 2,3,4-grams ", fitted
32,100,60,21,42.43628701506573,0.11,0.89,5,0.68,0.7430000000000001,0.56,0.4160800000000001,gr_articles,"Kestemont GI, Cosine "," 2,3,4-grams ", manual
33,100,27,22,33.530372861218524,0.47318,0.83078,5,0.79,0.844,0.762,0.643128,gr_articles,"Kestemont GI, Cosine "," 2,3,4-grams ", fitted
34,100,65,27,38.583267591143326,0.11,0.89,2,0.56,0.7872000000000001,0.5445000000000001,0.42863040000000013,sp_articles,"Kestemont GI, Cosine "," 2,3,4-grams ", manual
35,100,8,27,30.061804486798337,0.37484,0.55364,19,0.69,0.9064,0.7452,0.6754492799999999,sp_articles,"Kestemont GI, Cosine "," 2,3,4-grams ", fitted
36,96,30,48,26.218794679561256,0.11,0.89,2,0.75,0.9383680555555556,0.875,0.8210720486111112,du_essays,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
37,96,5,47,14.664723152035645,0.4553,0.59834,5,0.8958333333333334,0.9683159722222222,0.9315321180555555,0.902017428551191,du_essays,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
38,50,20,12,21.688429223951246,0.11,0.89,0,0.58,0.7048000000000001,0.504,0.35521920000000007,du_reviews,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
39,50,7,12,21.106136433233182,0.08876,0.12452,8,0.66,0.7216,0.6384000000000001,0.4606694400000001,du_reviews,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
40,200,148,16,95.6869683957822,0.11,0.89,2,0.575,0.5898000000000001,0.3045,0.17959410000000003,en_essays,"Kestemont GI, Cosine "," 2,3,4,5-grams ", manual
41,200,5,16,96.69499343582433,0.08876,0.0977,76,0.57,0.5367999999999999,0.568875,0.3053721,en_essays,"Kestemont GI, Cosine "," 2,3,4,5-grams ", fitted
